CollectionID,Title,Identifier,FeaturedText,Description,Strengths,PhysicalCharacteristics,CollectionType,AccessControl,AccrualPolicy,AccrualMethod,AccrualPeriodicity,AccrualGenStatement,CollectionNotes,LegalStatus,CustodialHistory,CollectionTemporalStart,CollectionTemporalEnd,AccumulationDateStart,AccumulationDateEnd,ContentsDateStart,ContentsDateEnd,DescriptionOrCatalogue,PublicationsNote,LocationID,OwnerID,OldCollectionID,ModerationFlag,LastUpdate,URLToCollection,oaiSet,InProgress,NorthernBridgeEntry,name_ids,area_ids,collector_ids,media_ids,subject_ids,asscociated_ids,language_ids
60,Midgely Papers,D/4089,,"Political and personal papers of the Ulster politician Harry Midgley (1892-1957), Minister of Public Security in the Northern Ireland Parliament, 1943-45, Minister of Labour, 1949, and Minister of Education, 1950-57. The collection includes much material reflecting Midgley’s career in the Northern Ireland Labour Party and in the Stormont Government and his interests more generally. Included can be found detailed correspondence, 1929-57, relating to his political career and from such figures as former NI Prime Minister, Basil Brooke (1888-1973) and George Simpson, Secretary of the North Derry Labour Party. The correspondence also includes a strong sporting element reflecting Midgely's role as a member of the management committee of Linfield Football Club from the early 1930s (see also PRONI references D/3852 and T/3824) and later as Club Chairman, a position he held until his death in 1957. In addition, the archive also contains an important series of Midgely's diaries dating from 1928 to 1943 pertaining to issues such as the resignation of the Labour Government in Britain on 24 August, 1931. There is also a wide range of Midgely's speeches in the collection, 1940-56, covering many of the important issues of the day. Printed election material, 1923-57, press cuttings, 1929-87, a small batch of photographs, 1917-53, and 24 of his poems written between 1916 and 1954 are also to be found.",The Midgely Papers are a rich source for students of twentieth century Ulster politics.,"The Midgley Papers consist of c.2,000 documents, consisting of correspondence, diaries, photographs, printed material and press cuttings etc and comprise the contents of 5 PRONI boxes.",Collection.Archive.Text,"The collection is stored in secure, closed accomodation and can be requested for on-site consultation using  an in-house document ordering system. Access is supervised and for research and/or reference purposes only.",Closed,Loan,Closed,,,,,,,,,1916,1987,See PRONI reference D/4089 for catalogue of the papers. The catalogue is available for consultation in PRONI's Public Search Room,Mainly published pamphlets,24,209,472,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=60,rascal,0,,"273,420,924,1066,1203,1290,1311,1315,1617,1693,1807",,234,,,,177
61,Pinkerton Papers,D/1078,,"Collection of original papers relating to the Pinkerton family, tenant farmers from Seacon More, Co. Antrim, 1795-1921. One section of the collection deals largely with family and estate matters and includes: a 1795 lease 'to John Pinkerton, the elder, Secinmore'; various Pinkerton wills including that of Samuel Pinkerton, Senior, Secon 1811; an account book, 1870-1908, relating to the Pinkerton property; photographs of members of the Pinkerton family and other individuals, c.1860- c.1914.<br><br>The main interest of the archive, however, lies in the papers and correspondence of John Pinkerton (1830-1908) who was M.P.for Galway, 1886-1900. Pinkerton rose to local prominence as a member of the Ballymoney Debating and Agricultural Societies, and as a radically minded member of the Coleraine Board of Guardians. In 1885 he stood as an Independent candidate for North West Antrim, where despite defeat, he so impressed the Parnellites that he, a Protestant tenant farmer, was adopted as the party candidate for Galway in 1886. During his career as an M.P. he appears to have been an exceptionally active 'political missionary', and was frequently called upon to speak in favour of Land Reform and Home Rule at Liberal demonstrations throughout Scotland and England. His papers reflect his prominence in all these areas and include correspondence relating to the Ballymoney Agricultural Society, 1876-78 and his role as a member of Coleraine Board of Guardians. Above all, though, his active and significant role in politics is displayed in the papers. Many political issues are covered including: Pinkerton's work towards a Bill for the temporary relief of agricultural tenants in Ireland and the admission of certain leaseholders to the Land Act of 1881'; various election campaigns; and the appointment of a Catholic President for Queen's College, Belfast in 1900.<br><br>Of much added and important interest is the inclusion in the Pinkerton collection of 13 letters of the famous Irish Nationalist, John Mitchel, 1815-75. In his first letter, 1834, he writes to his father of his dissatisfaction with his post as a bank clerk in Londonderry. The remaining letters, 1848-74, are all written to his sister, Matilda Dixon, in Dromore, Co. Down, from his exile in Bermuda, Tennessee, Washington D.C. and Paris; the American letters are of particular interest in that they reflect Mitchel's sympathy with the South and with Southern institutions during the pre-Civil War period. He did, indeed, at this time, 1854, set up and run a newspaper in New York called the 'Citizen' which strenuously opposed the abolition movement. In one letter, written to his sister on 10 April, 1859, he declared 'I am saving the South with all my might  - indeed so violently that a great part of the south (besides the whole north) think me mad '.",The papers are particularly useful for students of Irish political history during the latter half of the nineteenth century.,"c.150 items comprising a range of documents, volumes, newspapers, printed pamphlets and photographs occupying the space of five PRONI boxes.",Collection.Archive.Text.Image.,"The collection is stored in secure, closed accommodation and can be requested for on-site consultation using an in-house document ordering system. Access is supervised and for research and/or reference purposes only.",Closed,Loan,Closed,,,,,,,,,1795,1921,See PRONI reference D/1078 for catalogue of the papers. The catalogues are available for consultation in PRONI's Public Search Room.,,24,228,473,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=61,rascal,0,,"112,415,1212,1418",,236,,,,177
62,Plunket Papers.,D/3406/A,,"Estate and personal papers etc of the Plunket Family, Lords Plunket of Cos Cork and Monaghan, 1673-c. 1930. Containing approx. 1150 documents, the Plunket Papers are a significant collection of patents, title deeds, leases, rentals, maps, correspondence, Irish Land Commission sale papers etc concerning the family’s lands in counties Louth, Monaghan, Cork, Galway, Mayo and Roscommon, and, in a few cases, to the careers of the Rt. Hon William Conyngham Plunket (1764-1854), 1st Lord Plunket, a former Lord Chancellor of Ireland, and of Rev. Thomas Span Plunket (1792-1862), 2nd Lord Plunket, Bishop of Tuam.  The papers include title deeds and leases, 1753-1919, relating to the Co. Louth estate of the Plunket family, inherited from the Foster family of Milestown, Co. Louth, which were an eventual consequence of the marriage of the Rev. Thomas Plunket and Louisa Foster in 1819. There is also a considerably smaller quantity of title deeds, leases and rent books relating to the family's  Co. Monaghan estate. This includes material concerning the Raw and Milltown estates acquired by Dr Patrick Plunket M.D by 1802 and 1809 respectively. The rent books relate to both these areas and cover the years 1838-40 and 1844; they also relate to the Plunket estate in Co. Cork, comprising the village of Newtown and the lands of Newtown, Shananagh, Kilmagoura and Clonleigh, barony of Orrery and Kilmore. The map material, 1833, 1840, 1856 and 1881-c.1930, consists of maps of various parts of the Louth estate, a map of the Raw estate, Co. Monaghan, and two maps of premises in the town of Tuam, Co. Galway; and there are voluminous Irish Land Commission (ILC) and related papers, late 19th-early 20th century, concerning the estates in both Louth and Monaghan. Wills and testamentary papers covering the period 1854-60 are also to be found. The non-estate material consists of formal documents, 1828-1829 and 1834-1835, pertaining to the legal career of the 1st Lord Plunket, including a patent granting him a pension of £4,000 a year, 1834, and a patent appointing him Lord Chancellor of Ireland, 1835; and formal documents concerning the ecclesiastical career of the 2nd Lord Plunket including his elevation to the united bishopric, 1839.","The Plunket Papers are a significant resource for subjects relating to, and associated with estate management and land purchase in Ireland from the early modern period onwards and for the development and evolution of the Plunket Family lands and property in Cos. Louth, Monaghan, Cork, Galway, Mayo and Roscommon.","The collection contains approximately 1150 items comprising a range of patents, rentals, title deeds, maps, correspondence, etc. They occupy the space of 14 PRONI boxes.",Collection.Archive.Text,"The collection is stored in secure,closed accomodation and can be requested  for on-site consultation using an in-house document ordering system. Access is supervised and for research and/or reference purposes only.",Closed,Loan,Closed,,,,,,,,,1673,1930,See PRONI reference D/3406/A for catalogue of the papers. The catalogue is available for consultation  in PRONI's Public Search Room.,,24,229,474,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=62,rascal,0,,"1426,1427",,237,,,,177
63,Qua Iboe Mission Records,"D/3301, MIC/434",,"c.150 volumes, 13 files and c.750 documents comprising the records of the Qua Iboe Mission in Nigeria and Belfast, 1887-1963. In 1887 Samuel Alexander Bill, a 23 year-old Belfast builder, responded to a call from chiefs of the Ibuna tribe in the Qua Iboe region of Southern Nigeria for a Christian teacher. He established a house and school and from these grew the Qua Iboe Mission which (in the 1940s) had 14 central and 700 outstations with 50 European workers and 650 native helpers, bible and evangelist colleges, training institutes for young people and a hospital.  The papers of the mission are a rich source for students of the history of misionary work in Africa. There is detailed correspondence about the work and development of the mission from 1888 to 1942, including a large section of 725 letters, 1900-42, from the Superintendent in the field, Samuel Bill, to Mr R.L. McKeown (himself a missionary in the field 1899-1901) as General Secretary of the mission in Belfast. These letters contain details of every aspect of the work. Also of considerable interest are the diaries of Samuel Bill, 1887-1941, and his loose leaf daily journals, 1902-22, which are very detailed because of his desire to keep the Home Council informed about the progress of the work. The earliest diary, Sept.-Oct. 1897, is an original daily account of the initial voyage to Qua Iboe via Old Calabar. Other contents of the archive include: bound volumes of the Mission quarterlies, 1892-1962; Annual Reports of the Belfast Qua Iboe Missionary Association (including financial reports), 1889-1941; minute books, records of donations, financial statements, etc. of the Mountpottinger and Londonderry auxiliaries of the Central Council, 1896-1960, which were established for fundraising and spreading information. There are also a range of photographs pertaining to the mission , c.1890-1940, including one of Samuel Bill and his family taken in 1896.",The collection is a major source for research into missionary work in West Africa from the 1890s onwards. It is particularly useful because of the large volume of correspondence and diaries which have survived.,"The Qua Iboe Mission Papers consist of c.850 items, 1887-1963, comprising a range of documents, volumes, plans, photographs, publications and newspaper cuttings occupying 13 PRONI boxes. There is also a microfilm copy of the records (MIC/434).",Collection. Archive. Text. Image.,"The collection is stored in secure, closed accommodation and can be requested for on-site consultation using an in-house document irdering system. Access is supervised and for research and/or reference purposes only. The papers are also available in the medium of microfilm.",Closed,Loan,Closed,,,,,,,,,1887,1963,See PRONI reference D/3301 for catalogue of the papers. The catalogue is available for consultation in PRONI's Public Search Room.,,24,233,475,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=63,rascal,0,,"205,1449",,153,,,,177
64,Registry of Deeds archive,MIC/7; MIC/311,,"2,477 microfilm reels comprising the records of the Irish Registry of Deeds,1708-1929. The Irish Registry of Deeds was founded in 1708 in Dublin, and was responsible 'for the Public Registering of all Deeds, Conveyances and Wills, that shall be made of any Honours, Manors, Lands, Tenements or Hereditaments including the written wills from the time the devisor or testatrix shall die after the said 25th March, 1708'. However, the registration of deeds was not compulsory, and these transactions constitute only a  part (although a very important proportion historically for the four provinces of Ireland) of the property transactions which took place throughout the country.   One of the main functions of the Registry of Deeds was to ensure the enforcement of legislation which prevented Roman Catholics from buying or taking long leases on land. Up until the1780s, Roman Catholics could not take out a mortgage, or take leases on land for a period longer than thirty one years. As a result, the majority of the records relate to the property-owning members of the Church of Ireland. The quantity of deeds registered varies from county to county. For example, Co. Tyrone is especially well represented in registered items, while many small landowners in Co. Down and Co. Armagh tended to avoid registration. Moreover, certain religious denominations such as the Quakers and the Ulster Presbyterians tended to steer clear of registered deeds. Within these limitations, the Registry of Deeds is still an invaluable source, particularly for the eighteenth century, because a very wide range of documents was registered. Nor was Irish registration confined to the major categories of deeds, as it included details of lease, mortgage,  conveyance and annuities, rents, rights of way, wills, dissolution of partnerships, etc.  The records of the Registry of Deeds themselves comprise memorials of deeds put forward for registration. These usually contain complete copies or fairly full abstracts of the orginal documents and can be found under PRONI reference MIC/311 alongside accompanying transcript books containing a duplicative record of the above. Associated indices for Names of Grantors and Land are also available under reference MIC/7.","This is a key archive for students of estate ownership and management throughout Ireland from the beginning of the eighteenth century.,","2,477 reels of microfilm occupying the space of 133 PRONI boxes.",Collection.Archive.Text.,"The collection is stored in secure, closed accommodation and can be requested for on-site consultation using an in-house document ordering system. Access is supervised and for research and/or reference purposes only.",Closed,Purchase,Closed,,,,,,,,,1708,1929,See PRONI references MIC/7 and MIC/311 for catalogues of the papers. The catalogues are available for consultation in PRONI's Public Search Room.,,24,81,476,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=64,rascal,0,,1488,,154,,,,177
65,Royal Downshire Militia Records,D/374,,"Records of the Royal Downshire Militia, 1793-1855, comprising a Courts Martial Book, October 1793-September 1796, three correspondence and order books, October 1799-September 1812, and some loose army circulars and memoranda, 1855. The Courts Martial Book contains summaries of the evidence, etc., at courts-martial of non-commissioned officers and men of the Downshire regiment. The other three contain copies of circulars and letters to and from officers at headquarters in Dublin and elsewhere, as well as reports of courts-martial of commissioned officers in militia regiments and in line regiments at home and abroad. In the volume for 1793-6, a portion of which is missing, there are recorded 228 courts-martial. There are a few instances of something like an under court-martial, or Court of Enquiry, composed of non-commissioned officers and men, trying a private.  The reactions at home to the Napoleonic War, then in progress, are reflected in these volumes. Bounties were given to militia soldiers enlisting in line regiments for 'service in Europe only', while strenuous efforts were made to keep the militia regiments at full strength for home defence. In 1801, the Downshire Regiment, among others, volunteered to serve in England and received the thanks of the Commander-in-Chief. Bad harvests in 1799 and 1800 led to the issue of orders permitting the employment of militiamen to assist farmers in digging potatoes. But the action of several corps in intercepting potatoes on the way to market caused a shortage in Dublin. Other references to current events include a mutiny at Gibraltar in 1803, the Battle of Copenhagen, 1807, and trouble at Kilrea, Co. Londonderry in 1811 arising out of a militia soldier's 'unwarrantable language to an Orangeman'","Although quite a small collection, the volumes contain a wealth of information about the militia, not only relating to the Downshire regiment but to regiments throughout Ireland and events abroad.","4 volumes and c.20 documents, 1793-1855, occupying 2 PRONI boxes.",Collection. Archive. Text.,"The collection is stored in secure, closed accommodation and can be requested for on-site consultation using an in-house document ordering system. Access is supervised and for research and/or reference purposes only.",Closed,Purchase,Closed,,,,,,,,,1793,1855,See PRONI reference D/374 for catalogue of the papers. The catalogue is available for consultation in PRONI's Public Search Room.,,24,81,477,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=65,rascal,0,,1536,,243,,,,177
66,Savory Papers,D/3015,,"Personal and political papers of Professor Sir Douglas Lloyd Savory (1878-1969), c.1900-1969. Professor of French Language and Romance Philology at Queen's University, Belfast, 1909-40 and, later, Unionist MP for Queen's University and Antrim, 1940-55, these papers reflect Savory’s broad range of interests and activities in both academic and political spheres.   Apart from a group of sermons by the Rev. E. Lloyd Savory (the father of Professor Savory), c.1900, the archive consists largely of correspondence, speeches, newspaper cuttings and notes,etc., sorted into 4 broad categories: political, European affairs, education and literary, and religious. Other files of political correspondence relate particularly to Home Rule, 1911-21; foreign affairs; temperance and income tax 1941-7; the effects of the German air raids on Belfast; railway services and boundaries of wards in Londonderry, 1941-57; Eire citizens working in Northern Ireland; the export of Northern Ireland produce to Great Britain; the 'B' Specials, 1952-4; the Boundary Commission and relations with the Irish Free State, 1943-56; the setting up of the Republic of Ireland, 1946-8; and the Orange Order, 1949-65. The remaining correspondence deals with Polish affairs, 1945-68 deriving partly from his assignment as special investigator into the massacre of Polish officers at Katyn Wood in 1941 (the main bulk of his Polish papers are in the Polish Institute and Sigorski Museum in London); minority disputes in the South Tyrol and in South Slesvig, 1945-64; and administrative matters in connection with Queen's University including letters commenting on the Suez crisis of 1956. There are also notes and correspondence reflecting Savory's interest in Church history, 1938-64, such as material on the history of the Moravian Church and the Waldensian Church and correspondence with the Archbishops of Armagh and Canterbury.   Another section of the archive comprises four folders containing extracts from the official reports recording speeches made and questions asked by Savory in the House of Commons, 1941-55. There is a substantive quantity of pamphlets, drafts and copies of articles, reviews and public addresses and speeches etc., most of them by Savory, 1922-67, on a wide variety of subjects including twentieth century political events, the Plantation of Ulster, the French Revolution, the Huguenots and the Disestablishment of the Church of Ireland; subject indexed newspaper cuttings, 1901-65; and a small number of photographs of Savory..","The collection is particularly strong because, given Professor Savory's long life span, there is important material relating to many aspects of Irish history covering the greater part of the 20th century. In addition, Savory's interests and role in international affairs make the collection a valuable source for various aspects of 20th century European history.","c.1,000 individually-numbered items, c.1900-69 comprising a range of c. 65 documents, 48 volumes, c. 80 folders, newspaper cuttings and 4 photographs occupying 33 PRONI boxes.",Collection.Archive.Text.Image.,"The collection is stored in secure, closed accommodation and can be requested for on-site consultation using an in-house document ordering system. Access is supervised and for research and/or reference purposes only.",Closed,Loan,Closed,,,,,,,,,1900,1969,See PRONI reference D/3015 for catalogue of the papers. The catalogue is available for consultation in PRONI's Public Search Room.,,24,255,478,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=66,rascal,0,,"90,355,368,396,457,577,1577",,248,,,,177
67,Sharman Crawford Papers,D/856,,"Estate and political papers of the Crawford, Sharman and Sharman-Crawford families of Co. Down, c.1717-1920. Of particular significance are the papers of William Sharman-Crawford (1781-1861), MP for Dundalk, 1835-1837, and Rochdale, 1841-1852. Consisting of correspondence and memoranda, 1830-61, this section of the collection charts the development and progress of Crawford’s political career and interests. A keen supporter of Catholic Emancipation and later a federalist solution to the Irish Question, he is chiefly reknowned for his work in support of the tenant farmers of Ireland and, in particular securing the legal recognition of the Ulster custom of Tenant Right. His papers also demonstrate his radical approach to such issues as the Franchise and the Corn Laws. The papers are rich in correspondence on these and other important issues of the day. His correspondents include major figures such as Grey, Peel, Russell, Stanley, Graham, Hume, Cobden, Bright, Napier, Cardwell, Sheil, O'Connell and Smith O'Brien. There are also a large number of informative memoranda written by Sharman-Crawford on a wide range of issues such as the economic position of Ireland and, in particular, the drain on the economy (estimated at £1.5 million per annum) caused by absenteeism. The collection also includes a series of devotional memoranda reflecting Crawford’s later preoccupation (after 1852) with religion, which illustrate, for example, his reasons for withdrawing from the Established Church of Ireland in favour of Unitarianism.  The second major constituent of the collection comprises rentals, accounts, leases, maps and correspondence for the several estates which came into the hands of the Sharman-Crawford family, at Rademon, Crawfordsburn and Banbridge in Co. Down, and at Stalleen in Co. Meath. These cover the years c.1830-1900. A group of testamentary and trust papers relating to the clients of Arthur Sharman-Crawford, solicitor, includes such families as Gordon, Angerstein, Bellingham, Holmes-Houston, Adams, Forbes and Burr, c.1800-1900.","The principal strength of the collection centres on the important political correspondence included, much of it emanating from leading political figures.","c.2,500 items comprising correspondence, volumes, maps, testamentary papers, etc., occupying the space of 23 PRONI boxes.",Collection.Archive.Text..,"The collection is stored in secure, closed accommodation and can be requested for on-site consultation using an in-house document ordering system. Access is supervised and for research and/or reference purposes only.",Closed,Loan,Closed,,,,,,,,,1717,1920,See PRONI calender reference D/856 for list of the collection. The catalogues are available in PRONI's Public SearchRoom.,,24,261,479,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=67,rascal,0,,"764,1052,1344,1404,1563,1598",,91,,,,177
68,Spender Papers,"D/1295, D/715",,"Personal and political papers of Sir Wilfred Spender (1876-1960), Head of the Northern Ireland Civil Service, 1926-1944. Comprising correspondence, memoranda, diaries, press cuttings, and other documents, the Spender Papers are an essential resource in documenting the emergence and development of Northern Ireland as a political entity during the early 20th century.   Reflecting the various facets and interests of his career, in particular his contribution to the Ulster Unionist movement against Home Rule and the early development of the state of Northern Ireland, the collection is divided into two principal deposits. D/1295 consists of some 700 documents, c.1900-60, and falls into three groups. Firstly, there are papers relating to his retirement from the Army in 1913 which he was compelled to do after signing the Ulster Solemn League and Covenant. Secondly, there is material pertaining to his activities between 1914 and 1919 as an administrator in the Ulster Volunteer Force during the period of the organised gun-running at Larne, Co. Antrim, and papers in 1914 dealing with the organisation of the Ulster Volunteer Force and, after the outbreak of the War, with the incorporation of the UVF into the British Army. Other papers relate to his resumed military career after August 1914 with the 36th (Ulster) Division in the 1st World War and later as Staff Officer at GHQ. Thirdly, there are papers and correspondence relating to his career in Northern Ireland from 1921 to 1944. Although quite miscellaneous, these papers are important for reflecting Spender’s role as Secretary to the Northern Ireland Cabinet and concern a diverse range of topics including the Imperial Economic Conference; Civil Service estimates; the organisation of the Great Northern Railway; the composition of the Privy Council for Northern Ireland; the Ulster Special Constabulary; and the Boundary Commission. Principal correspondents also include Rt. Hon. H.M.Pollock (Minister of Finance), Sir Ernest Clark (Head of the Northern Ireland Civil Service) and the Prime Minister of Northern Ireland, Sir James Craig.   The other major constituent of the archive comprises Sir Wilfrid's diaries for the period from 1934 to 1944 during which time he was Head of the Northern Ireland Civil Service (D/715 and MIC/559). They are twenty-four in number, and taken in conjunction with the papers described above, they give a rounded picture of a remarkable man. In particular, they provide an interesting insight into attitudes and views on the island of Ireland concerning the Second World War.","The Spender Papers and Diaries constitute a major research tool for the Home Rule crisis in particular, and also for the formative years of the Northern Ireland state.","c.750 items, c.1900-1960, comprising a range of documents, volumes, photographs and newspaper cuttings and occupying 10 PRONI boxes.",Collection. Archive. Text. Image.,"The collection is stored in secure, closed accommodation and can be requested for on-site consultation using an in-house document ordering system. It should be noted that part of the archive (D/715) can only be consulted on microfilm (ref. MIC/559), because the original documents are closed to the public in order to ensure their long term preservation. Also, access to any part of the collection will only be granted to any person who signs an undertaking not to publish any information obtained from the papers without the prior consent of the Deputy Keeper of the records and to submit the text of any article or thesis to PRONI prior to publication. All requests for access to this collection must be made in writing to the Head of Access Standards Section. The text of any article or thesis submitted to PRONI will be referred to the Office of the First Minister for approval.",Closed,Loan,Closed,,,,,,,,,1900,1960,See PRONI references D/715 and D/1295 for catalogues of the papers. The catalogues are available for consultation in PRONI's Public Search Room.,,24,266,480,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=68,rascal,0,,"259,356,458,781,782,1303,1589,1658,1798",,251,,,302,177
69,Talbot/Gregory Papers,D/4100,,"Personal and political correspondence of Sir Charles Chetwynd Talbot (1777-1849), second Earl Talbot of Hensol, Lord-Lieutenant of Ireland, 1817-1821, and William Gregory (1762-1840), Under-Secretary in Dublin Castle, 1812-1831.   Talbot, the great-grandson of Charles Talbot, a former Lord Chancellor, first came to prominence in 1803 when he took an active part in organising a volunteer force in his home county of Staffordshire in opposition to Napoleon’s threat of invasion. He was appointed Lord-Lieutenant of that county in 1812, a position he retained until his death in 1849. He is, however, best known for his services as Lord-Lieutenant of Ireland. Appointed in 1817, he took a particular interest in agricultural matters and, though he steadily opposed catholic emancipation, received much credit from Daniel O’Connell for his impartiality on the subject. William Gregory, on the other hand, was of a more liberal persuasion. A fluent Irish speaker, he is best remembered as one of the longest serving Under-Secretaries in Dublin Castle, holding his position from 1802 to 1831, and as a trusted adviser to successive viceroys and Chief Secretaries. Indeed, he was described by O’Connell at this time as the real ruler of Ireland. Other positions of note included Sheriff of Galway, 1799, and Secretary to the Inland Navigation Board, 1801-11.  From the correspondence, it is clear that Talbot and Gregory were close friends and that their families were also on intimate terms. The majority of the letters cover the period when Talbot was Lord-Lieutenant of Ireland. They concern many of the prinicipal issues and events of the time, most notably: negotiations with the 1st Viscount Sidmouth and the 2nd Earl of Liverpool (Home Secretary and Prime Minister respectively); the Catholic Question; Ribbon and other disturbances; appointments (mostly ecclesiastical); William Saurin's controversial career, including his resignation from the Attorney-Generalship in 1822; George IV's post-coronation visit of 1821; and Talbot's unexpected recall from office in December 1822 as a result of growing political discontent in Ireland. Letters written in 1821, mainly from Talbot to Gregory, discuss the withdrawal of troops from Ireland which the former was opposed to and also 'the lamentable poverty of the Irish Peasants'. A number of letters from the end of the 1820s concentrate on the important issue of Catholic Emancipation. Nine letters are to Talbot from family and other friends.",The principal strength of the collection lies in its analysis and coverage of the major issues at the beginning of the 19th century from the perspective of two of the leading political figures of the day.,"139 letters, 1819-1835, occupying 2 PRONI boxes.",Collection.Archive.Text.,"The collection is stored in secure, closed accommodation and can be requested for on-site consultation using an in-house document ordering system. Access is supervised and for research and/or reference purposes.",Closed,Purchase,Closed,,,,,,,,,1819,1835,See PRONI reference D/4100 for catalogue of the papers. The catalogue is available for consultation in PRONI's Public Search Room.,,24,81,481,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=69,rascal,0,,"21,761,963,1346,1723",,145,,,,177
70,Templetown Papers,D/971; D/988; D/585,,"Estate papers of the Upton Family, Lords Templetown, concerning lands in Templepatrick, Co. Antrim and in Co. Monaghan, 1838-90. Comprising approx. 200 documents and title deeds etc, these papers chart the development and management of the estate in Antrim and Monaghan during the 19th century. Although fairly limited in quantity, the available documentation is full of quality. Included are c.30 family settlements, mortages, abstracts of title, etc, c.1860-1890, particularly for townlands in the parishes of Muckno, Ballybay and Clontibret, Co. Monaghan. Under PRONI reference D/988, there is a deed relating to the Templeton estate in counties Antrim and Monaghan in the nineteenth century. Of particular interest (see D/585/60) for the local historian and genealogist is an August 1838 Grant of annuity from Viscount Templeton to William Brougham comprising a 1st schedule-rentroll of Templetown's Monaghan estate with the spelling of placenames as in current usage.",Provides further insight into the landed estate history of the north of Ireland,"c.200 documents and title deeds, c.1838-1890",Collection.Archive.Text,"The collection is stored in secure, closed accomodation  and can be requested for  on-site consultation using  an in-house document ordering system.  Access is supervised and for research and/ or reference purposes only.",Closed,Loan,Closed,,,,,,,,,1838,1890,"See PRONI references D/971, D/988 and D/585 in PRONI's Public Search Room for further details.",,24,272,482,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=70,rascal,0,,1818,,105,,,,177
71,Tithe Records,FIN/5/A,,"The tithe system, which originally earmarked one-tenth of the produce of the land (and subsequently one-tenth of income in cash) for the upkeep of the anglican clergy, was introduced into Ireland under English law. The system was unpopular and regarded as unfair and unjust as the majority of the population was Roman Catholic and a high proportion of Protestants were Presbyterian and did not conform to the Established Church. Tithes were abolished by the Disestablishment of the Church of Ireland in 1871.  The Tithe Composition Applotment records comprise 275 volumes covering the years from 1823 to 1837. Each volume deals with a single parish, the content being sub-divided by townland and recording against each townland the names of the occupiers, the areas subject to tithe, the valuation and the tithe payable. They relate primarily to the six counties which now constitute Northern Ireland but other counties (e.g. Cavan) will appear where a townland straddles the border between Northern Ireland and the Irish Republic. The tithe books are unique records giving details of land occupation and valuations for individual holdings prior to the devastation wrought by the Great Famine of 1845 to 1849 and the accompanying mass emigration. For parish, townland and holding, the books give a picture of the quality of the land and the use made of it, differentiating between arable, pasture and non-productive land.The disastrous loss of historical material in the Four Courts fire of 1922 has left the tithe books as a unique genealogical source linking personal names with specific areas.  However, several difficulties are presented in the use of the tithe books: a small number of parishes were not subject to tithe because the land was of such poor quality that no tithe could be levied; church lands were tithe free; local names were not always those selected by the Ordnance Survey during its delimitation of townlands and parishes. That delimitation involved considerable changes, including the division and renaming of townlands. The shift towards administrative standardisation was pushed further by legislation in the 1830s which transferred townlands from one parish to another and even from one county to another. Finally, it should be noted that the Public Record Office of Northern Ireland holds on microfilm an index to the books (ref. MIC/15K) and also microfilm copies of the applotment books for the three counties of Cavan, Donegal and Monaghan (ref. MIC/442).",The principal strength of the collection is as a unique genealogical source for the period preceeding the Great Famine.,275 volumes 1823 to 1837 occupying 72 PRONI boxes.,Collection. Archive. Text.,"The collection is stored in secure, closed accommodation and can be requested for on-site consultation using an in-house document ordering system. Access is supervised and for research and/or reference purposes only.",Closed,Loan,Closed,,,,,,,,,1823,1837,See PRONI reference FIN/5/A for catalogue of the papers.The catalogue is available for consultation in PRONI's Public Search Room.,,24,276,483,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=71,rascal,0,,1448,,121,,,,177
