CollectorID,CollectorName,CollectorOrganisation,CollectorRole,CollectorHistory,OldCollectorID,OldCollectionID
234,"Midgley, Harry Cassidy (1892-1957)",0, Politician ,"Harry Cassidy Midgley (1892-1957) Politician and NI Government Minister. b. Belfast, 8 September 1892. Ed. Duncairn Gardens National School, Belfast. Secured apprenticeship as a joiner to the Shipbuilders, Workman and Clark, 1906. Became interested and involved in the Labour movement about this time. Served as a soldier in the First World War recording his experiences in his published poetry ‘Thoughts from Flanders’ (1924). Married his childhood sweetheart, Eleanor Adgey, in 1918 becoming a member of the Labour movement in Belfast soon after. By the end of 1919 became Organising Secretary of the Irish Linen Lappers and Warehouse Workers Union, playing a leading role in the Belfast Labour Party. Stood unsuccessfully as a Labour Candidate in the NI General Elections of 1921, 1923 and 1924. Elected Chairman of the Belfast Labour Party, March 1932. Elected for the Dock Division, Belfast in November 1933, retaining his seat until 1938. Returned to Stormont in 1941 following by-election success in the Willowfield constituency. In December 1942 was expelled from the NILP as a result of political tensions within the party on the National Question. Midgley was in favour of making a firm commitment to the NI Constitution. Formed his own party, the Commonwealth Labour Party with himself as Chair. April 1943, appointed Minister of Public Security, the first non-Unionist to enter the Northern Ireland Government. In September 1947, he tendered his resignation of the CLP and crossed the floor to join the official Unionist Party. He was also invited to join the Ulster Unionist Labour Association and became a member of the Orange Order and the Royal Black Preceptory. In 1949 secured a re-election to the Willowfield Constuency. By doing so he performed a unique feat - he had been returned for the same constuency under three different party labels: Labour, Commonwealth Labour and Unionist. His success was rewarded in 1949 with his appointment as Minister for Labour and National Insurance and, in 1950, when he was made Minister for Education. He held this post until his death on 29th April 1957 at the age of sixty four Mr John Midgley Eldest son of the Late Mr Harry Midgley (1892-1957)",273,472
229,"Montgomery, Leslie Alexander  (1873-1861)",0,Private collector and Novelist,"Leslie Alexander Montgomery (1873-1961) was better known as the popular novelist Lynn Doyle. He was well known as the author of the series concerned with Ballygullion, a ficticious village in East Ulster. Montgomery worked as a Bank Manager for the Northern Banking Company in Skerries, County Dublin. He was most productive as a writer in his sixties. He was one of the first writers appointed to the ""Censorship of Publications Board"" in 1937, but resigned soon afterwards.",268,573
376,"Montgomery, Matthew and R.H. ",0,,"County Antrim farming family (father and son) with a great enthusiasm for Ulster dialect. Matthew Montgomery died in 1959, aged 85.",421,715
171,"Moore, A. S. (d. 1961)",0,Writer,"A.S. Moore (d. 1961) was a journalist, working for many years as the linen correspondent for the Belfast Newsletter. He was a renowned local historian and well respected for his knowledge of old Belfast. The journal ""Nomad's Weekly"" was his brain child and he wrote for it under the pseudonym of Nomad. He was 92 years old when he died in 1961.",210,584
213,"Morris, Henry (1874-1945)",0,Private Collector,"Henry Morris (1874-1945) came from Farney in County Monaghan. As an educationalist he rose from being a teacher to becoming Deputy Chief Inspector for the Department of Education (Dublin). While working as a teacher in Dundalk, he co-founded the Louth Archaeological Society in 1903 and throughout his life continued to be an enthusiastic folklorist, historian, archaeologist. As an Irish scholar, he was closely associated with the Gaelic League. In his latter years he was associated with the Irish Folklore Commission.?",252,513
525,Muise family,0,,"<p dir=""ltr"">Johnny Muise (1923-2005) was born in Boston and was raised in the Inverness area of Cape Breton Island, Nova Scotia. One of five sisters, Mary ""Gacie"" Edmonds Muise (1926-2014) was born in Hyde Park, Massachusetts, to Mary Margaret Cameron and Robert Edmonds.</p>\n<p dir=""ltr"">Mary Edmonds and Johnny Muise married in 1951 and settled on Neponset Avenue in the Dorchester area of Boston. By the mid-1950s, they were hosting impromptu music sessions. In 1965, Mr. and Mrs. Muise moved from Dorchester to Roslindale. From the mid-1950s through the mid-1990s, they hosted many informal house sessions of Cape Breton and Irish traditional music. Mary was an accomplished pianist, and Johnny made an effort to record the music, first on open reel audio tapes and in later years on audiocassettes.</p>\nThe eldest of Mr. and Mrs. Muise’s four daughters, Janine Randall was born in 1953.  Randall learned piano and step dancing from her mother.  In 1996 Ms. Randall co-founded the Ceilidh Trail School of Celtic Music in Inverness, Cape Breton.",,
321,"Mulvey, V. A., Rev. (decd.)",0,Politician,"Descendant/relative of Anthony J. Mulvey (1882-1957), Nationalist MP for Fermanagh-Tyrone, 1935-50 and Mid-Tyrone, 1950-51. Anthony Mulvey was born in 1882, the son of Gerald Mulvey of Ballinaglera, Co. Leitrim. He married Kathleen Tiernan of Ballinamore in 1921 and they had three sons and one daughter. His early career was in the field of journalism and he was for a number of years editor of the Ulster Herald. Politically, Mulvey was nationalist and anti-partitionist and throughout his career he remained a staunch supporter of attendance at Parliament. This was against the background of his Fermanagh-Tyrone constituency which was a paradigm of the fierce contest being fought between the two nationalist tactics of abstention and attendance. Patrick Cunningham, who never spoke in Parliament , and Mulvey were the only Nationalist M.P.'s elected to Westminster as joint members for Fermanagh-Tyrone when it was a two-member constituency and therefore had the task of representing the entire Nationalist community in Northern Ireland. Mulvey, under the direction of his Nationalist colleagues, would raise questions, speak in Parliament or obtain information and material which was inaccessible to M.P.'s at the Stormont Parliament. After his retirement from politics in 1951, Mulvey lived in Omagh, Co. Tyrone until his death in 1957",364,666
456,"Nally, Edward Vincent (1907-1992)",0,,"<p>Edward Vincent Nally [Éamonn Mhac Fhailigh], 1907-1992 of Emper, Ballynacargy, county Westmeath. Nally was a school-teacher who maintained a life-long interest in both Irish and Hiberno-English.</p>",,
501,National Archives and Record Administration (NARA),0,Archive of the United States Government,<p>NARA is the “nation’s record keeper” for the United States Government. NARA retains records that are deemed legally or historically important. Although it was set up by Franklin D. Roosevelt in 1934 it contains records dating back to as early as 1775. The organisation is similar to the National Archives of other nations.</p>,,
279,"Nawn, Frederick James (1918-1989)",0,Librarian,"Frederick James Nawn (1918-1989) joined Fermanagh County Library Service in 1939. He was made County Librarian in 1949 and it was from this date that he started his ""Irish Collection"" in ernest. With the reorganisation of the Library service in 1973 Nawn became a Divisional Librarian for Fermanagh with the Western Education and Library Board until he retired in 1983. Nawn had a keen interest in genealogy and family history and this is reflected in the collection. He was also interested in antiques - particularly silver, contemporary Irish art and music. The ""Irish Collection"" at the Western Education and Library Board that Nawn assembled was named after him as a lasting memorial to him and his work.",320,524
31,"Newport, John, Sir (1756-1843)",0,Politician,"Irish Politician. b. Waterford, 1756. Educated at Eton. Volunteer delegate. MP for Waterford City, 1803-32. acting in consort with the Whigs. Irish Chancellor of the Exchequer, 1806-39. Steady supporter of Catholic Emancipation taking a very active part in parliamentary debates. Died in Waterford in 1843. Source: Crone, Concise Dictionary of Irish Biography, 1928; Webb, Compendium of Irish Biography, 1878",51,56
505,"North, Henry Ringling, 1909-",0,,,,
462,"Norton, Trevor",0,Academic,Professor Norton of the Port Erin Marine Laboratory and University of Liverpool.,,
487,"Ó Duilearga, Séamus ",0,,,,
290,"Ó Fiaich, Tomás; Cardinal   (1923-1990)",0,Church Leader,"Cardinal Tomás Ó Fiaich (1923-1990) was born in Crossmaglen, Co. Armagh He was ordained in 1947 and had a distinguished early career as an academic. He was awarded the Licentiate in Historical Science with the highest distinction from the University of Louvain, and then appointed to the position of Professor of Modern Irish History at Maynooth at the age of 36. The Cardinal was committed to making knowledge of history and Irish culture more accessible to ordinary people, and he gave many lectures and addresses and published widely to further these aims. He was always careful to maintain a balance between academic and local interest. He was President of St. Patrick's College, Maynooth when appointed Archbishop of Armagh in 1977, and was then appointed Cardinal in 1979. He died in May 1990 during the annual Armagh Diocesan Pilgrimage to Lourdes.",332,637
458,"Ó Máille, Tomás",0,Academic,"Tomas O'Maille (1880-1938), professor of Irish at NUI Galway. Full biographical information available in Dictionary of Irish Biography.",,
518,"Ó Nualláin, Micheál",0,Artist,,,
479,"O'Connor, Emmet, Dr.",0,Academic,,,
197,"O'Donoghue, D.J. (1866-1917)",0,Scholar and editor,David James O'Donoghue (1866-1917),236,585
459,"O'Donovan, John",0,Irish Antiquarian,John O'Donovan (1806-1861),,
524,"O'Hara, Mary",0,Singer,"<p dir=""ltr"">Born in 1935 in Sligo, Ireland, O'Hara began singing at an early age and first learned to play the harp from Máirín Ní Shéa for a school pageant. She won her first singing competition at the age of eight and appeared on her first broadcast on Radio Éireann at the age of sixteen. In 1955, she rose to greater fame when she performed at the Edinburgh International Festival of the Arts and was featured on the cover of Irish Digest. Also that year, poet Thomas Kinsella introduced her to the American poet Richard Selig, whom she married in 1956. Fifteen months later, Selig died of Hodgkin's disease. O'Hara continued to perform for four years, releasing three albums. In 1962, O'Hara entered Stanbrook Abbey, where she remained as a nun for twelve years. In 1974, she returned to her musical career and garnered much international acclaim until her retirement in 1994. During this second span as a performing artist, O'Hara released eighteen albums, hosted a series of radio and television programs, and wrote several books. In 1985, she married Dr. Padraig O'Toole. Following her retirement, she and O'Toole lived in Africa for six years where they both worked with children with AIDS in Dar es Salaam and street children in Nairobi. In 2005, O'Hara began giving a series of talks entitled <em>Travels With My Harp</em>, which resulted in five published volumes of harp music, accompanying CDs, and a revised and updated autobiography. In 2007, Harp on the <em>Willow</em>, a musical play about O'Hara's life, premiered with much success in Australia.</p>",,
528,"O'Hegarty, P. S. (Patrick Sarsfield), 1879-1955",0,,,,
193,"O'Prey, G., Rev.",0,Private Collector,"Private collector - Crossgar, Co. Down.",232,457
29,"O'Rahilly, Thomas Francis, Professor (1883-1953)",0,Academic,"Leading authority on Irish dialects and mediaeval and modern Irish, born in Listowel, Co. Kerry in 1883. Educated at the School of Irish Learning in Dublin, graduating with a degree from the Royal University of Ireland in 1905. Member of the Royal Irish Academy and Professor of Irish at Trinity College Dublin (1919-29), research Professor of Celtic languages, University College Cork (1929-35) and later at University College Dublin (1935-41), Director of the School of Celtic Studies at the Dublin Institute for Advanced Studies (1942-47). Founder and Editor of the journal, 'Gadelica'. Principal publications included 'Early Irish History and Mythology' (1946), 'Irish Dialects, Past and Present' (1932), 'The Two St. Patricks' (1942) in addition to a series of anthologies of Irish Verse published between 1916 and 1927. He died in Dublin in November 1953.",49,54
27,"O’Shaughnessy, Arthur (1844-81)",0,Poet,"English poet, b. London, 1844. ed. privately. 1861 began work in the Library of the British Museum as a transcriber, before moving to the Zoology Department in 1863, where he became an authority on herpetology. Not previously known for his artistic talents, he published his first anthology, An Epic of Women in 1870, to great acclaim, although his subsequent publications failed to live up to general expectations. An associate of the pre-raphaelites, his principal works included the aforementioned An Epic of Women (1870), but also Lays of France (1872), Music and Moonlight (1881) and Songs of a Worker, which was published posthumously in 1881. His best-known poem is ‘The Music-Makers.’ d. 1881. Sources: Dictionary of National Biography (1895) Chambers Biographical Dictionary (1990)",47,53
26,"Percy, Thomas, Bishop of Dromore (1729-1811) ",0,Antiquarian and Bishop,"English antiquarian, author/poet and churchman, b. Shropshire, 1729. Ed. Oxford and Cambridge. In 1782 he became Protestant bishop of Dromore (Ireland) after having served as vicar of Easton-Maudit, Northamptonshire from 1753. He achieved literary fame as the editor of the Reliques of Ancient English Poetry (3 vol., 1765), a collection of 176 English and Scottish ballads, which sparked a revival in the study of earlier literary forms and exercised a great influence on the romantic poets in Germany as well as England. Percy was also well respected for his translations of Chinese and Icelandic verse, among other works. Percy's literary friends included Samuel Johnson and William Shenstone, and was related to Lord Percy, Duke of Northumberland. He died at his home in Dromore, Co. Down in 1811. Publications: Reliques of Ancient English Poetry (1765); Five Pieces of Runic Poetry, translated (1763); The Songs of Solomon, translated, with a Commentary (1764); Northern Antiquities (translation) (1770); The Hermit of Warkworth” (1771); A Key to the New Testament (1779); An Essay on the Origin of the English Stage (1793)",46,52
24,"Pim, Herbert Moore (1883-?)",0,Author and poet,"Author and poet. b. Belfast, 1883. Ed. Friend's School, Lisburn. Prominent in the Belfast YMCA. Converted to Catholicism and became a Nationalist joining the Irish Volunteer movement (est. Dublin, 1913) for which he was interned in Belfast. Later went on to revert to Unionism in 1918 and became involved in the Fascist Movement in Italy during the 1930s. Widely published author and poet from 1903 onwards. Principal works include the novels 'Vampire of Souls' (1903), 'The Man with 30 Lives' (1910), the autobiographical work, 'The Pessimist. A Study of the Problem of Pain' (published in 1914 under the pseudonym A. Newman), 'Unknown Immortals of Northern City of Success' (1917), 'Unconquerable Ulster' (1919), 'A Short History of Celtic Philosophy' (1920) and the anthologies, 'Selected Poems' (1917), 'Songs from an Ulster Valley' (1920), and 'New Poems' (1927). d. England. Sources: Dictionary of Ulster Biography, Kate Newmann (Belfast, 1994)",44,51
512,"Pinget, Robert",0,Writer,"<p>Robert Pinget (1919 –1997) was a Swiss-born French novelist and playwright. As a young man, he studied and practiced law.  After becoming dissatisfied with his legal career, in 1946 he moved to Paris and enrolled in the École des Beaux-Arts to study painting. Gradually he discovered his interest in writing and became ensconced in the Nouveau Roman (or “New Novel”) literary movement led by authors such as Alain Robbe-Grillet and Marguerite Duras. He published his first book, the collection of short stories <em>Entre Fantoine et Agapa</em>, in 1950.  Despite their unconventional style, Pinget’s works were received endorsements from renowned writers Alain Robbe-Grillet and Albert Camus. Pinget met Samuel Beckett in 1955, and they forged a friendship that became important to Pinget both personally and professionally.</p>",,
236,"Pinkerton, J.L.",0,,"Deceased. Westoncrofts, Ballymoney, Co. Antrim.",275,473
12,"Piry, Théophile (fl. 1880-1915)",0,"Commissioner of Customs, CIMCS; Postmaster General of the Imperial Chinese Post Office","Government official serving under Sir Robert Hart (1835-1911) in the Imperial Customs Service of China. Occupied a number of official positions under Hart including Commissioner of Customs, Lappa, c 1898. He went on to become the first Postmaster General of the Imperial Chinese Post Office when this was formed as a separate entity from the Customs Service in 1911. He held this position until his retirement from office in 1915.",30,37
268,"Rankin, Kathleen, Dr ",0,Oral History Project,"Dr Kathleen Rankin was born in Belfast, and educated at Queen's University, Belfast as a research chemist. Latterly she was involved in research in science education and became a lecturer in Biology and Chemistry. Dr Rankin's father was involved in the linen industry as head designer in Robert McBride &amp; Co., Ormeau Avenue, Belfast. An exhibition of his work was held at the Ulster Folk &amp; Transport Museum 1997 - 1998. A booklet was published entitled, ""H.R.Lilley Artist &amp; Designer"", ISBN No 1-8982 76-15B.",309,502
180,"Redlich, Anna",0,Author,"Author of 'The Dogs of Ireland,' published by Dundalgan Press in 1949. No further details available.",219,590
187,"Reeves, William, Bishop (1815-1892)",0,Bishop and Antiquarian,"William Reeves (1815-1892) was born in Charleville in county Cork. He was an antiquary and bishop. He was educated in private schools in Dublin and later at Trinity College Dublin. He graduated in Arts and Medicine. In 1860 he took Holy Orders in the Church of Ireland and served as a curate in various parishes in Ulster. He was the Librarian at Armagh 1861-86 and was made Bishop of Down, Connor and Dromre in June 1886. His works are still valuable source books for church history. He was president of the Royal Irish Academy in 1891. He died in Dublin in 1892.",226,588
485,"Reid, Forrest ",0,,,,
477,"Reside, Gerald Wilson, Major ",0,Architect and Engineer,,,
478,"Reside, Margaret",0,Solicitor,,,
175,"Riddel, Alexander",0,Editor and historian,"Alexander Riddel was Literary and Assistant Editor at the ""Northern Whig"". He was also responsible for the very popular ""Letters to Ulster folk at home and abroad"" a feature article in the ""Weekly Northern Whig"", which was discontinued with the outbreak of Worl War II. Riddel was a keen local historian. He became an authority on stage-coaching in Ireland, he was the first to publish details of the two earliest farming societies of the 4 Lower Baronies of County Antrim (1755) and of County Down (1756). Riddel was one of the first to broadcast from BBC's Northern Ireland station after its establishment. He gave a series of talks on Ulster's social life and customs. He died in 1958 in his 85th year.",214,592
500,"Ringling North, Henry (1909-1993)",0,,,,
262,"Rivers, Barbara ",0,,"Resident of Fareham, Hampshire. No further information",302,486
22,"Ross, John (d. 1956)",0,Private Collector,"Private book collector. d. Belfast, 1956",42,50
514,"Rosset, Barney",0,Publisher,"Barnet (“Barney”) Lee Rosset was born in Chicago in 1922. He attended Swarthmore College, University of California, Los Angeles, and the New School. Although he had no background in publishing, he acquired the nearly defunct Grove Press in 1951. During his tenure at Grove, the publishing house was pivotal in the introduction and publication of avant-garde writers. Rosset was the first to publish Samuel Beckett’s <em>Waiting for Godot</em> in the United States in 1954, and later published the works of Absurdist playwrights Eugène Ionesco and Jean Genet.  Under Rosset, Grove also published <em>The Autobiography of Malcolm X</em>,<em> Lady Chatterley’s Lover </em>by D.H. Lawrence, and Henry Miller’s <em>Tropic of Cancer</em>.",,
173,"Russell, George (1867-1935)",0,Theosophist,"George William Russell (AE) was born in Lurgan in 1867, moved to Dublin in 1868 and died at Bournemouth (where he had settled after his wife's death ) in 1935. He is well-known for his poetical works, landscape and portrait paintings. He attended night classes at the Metropolitan School of Art in Dublin and later at the Royal Hibernian Society, whilst working as a clerk in a drapery during the day. It was at the RHA that he met and became friends with Yeats. He became heavily involved with Yeats, Lady Gregory and the Irish Literary Theatre. He designed posters and sets. Whilst writing and painting he maintained a keen interest in the practical work of the Irish Agricultural Organization Society. Along with Sir Horace Plunkett he toured Ireland setting up credit banks for the Irish Agricultural Organisation Society (IAOS), he became editor of the Irish Homestead (paper of the IAOS) in 1905. He contributed to the Irish Statesman (1923-30). He wrote extensively on economics and politics, supporting Home Rule and the 1913 Lock-out. His first book of poems was published in 1894, this established him in the literary movement, a futher collection was published in 1913, with a second edition in 1926. He married Violet North in 1898. Their home was a meeting place for those interested in the furure of Ireland - economic and artisitc. Russell became a  in 1890 and had a keen interest in myticism throughout his life.",212,405
483,Russian State Archive of Socio-Political History (RGASPI) ,0,State Archive,Some background information is available here: http://www.comintern-online.com/rgaspi.html,,
222,"Ryan, F.V. ",0,,"Resident in Kilkeel, Co. Down, Mrs Ryan's husband was a grand-nephew of John Martin (1812-1875), the author of the diary. No further details are available",261,470
248,"Savory, Douglas Lloyd, Sir (1878-1969)",0,Academic,"b. Palgrave, Suffolk, 17 August 1878. Ed. Marlborough College; St. John's College, Oxford (B.A., 1902); Universities of Paris, Berne and Lausanne. Professor of French Language and Romance PhIlology, Queen's University Belfast, 1909-40, taught at Marlborough College, Goldsmiths' College, the Universities of Marburg (Prussia), Edinburgh, Bonn and London, was Secretary to HM Minister at Stockholm 1918-19, Commissioner of Intermediate Education for Ireland 1920-22, MP for Queen's University 1940-50 and Antrim 1950-55, President of the Huguenot Society of London 1946-48 and President Emeritus 1948 -. He is best known outside Ireland as the special investigator into the massacre of Polish officers at Katyn Wood in 1941.",287,478
515,"Schneider, Alan",0,Director,"<p>Alan Schneider was born in a suburb of Kharkov, Ukraine in 1917. On July 4, 1923, the Schneiders emigrated to America.  Schneider attended Johns Hopkins University with the intention to study theoretical physics, but transferred to the University of Wisconsin, Madison, to study political science and literature. Once in Madison, he actively pursued the theatre. In 1940 he attended Cornell University, where he received an MA in Literature and the Dramatic Arts.  In 1956 Schneider began a lifelong artistic partnership with Beckett when he agreed to direct the American premier of Samuel Beckett's <em>Waiting for Godot</em>. In 1964 he directed Beckett’s <em>Film</em>. Throughout his career as a director, Schneider was committed to teaching and directing student productions. He served as assistant professor of speech and drama at the Catholic University of America from 1941 to 1952 and as professor of theatre arts at Boston University from 1972 to 1979, was the director of the Juilliard School Theatre Center from 1975 to 1979, and from 1979 until he died he was professor of drama and head of the graduate directing department at the University of California, San Diego. Schneider died in 1984 when he was struck and killed by a motorcycle in London.</p>",,
345,"Seeds, John (fl. 1934-1946)",0,Architect,"John Seeds FRIBA (fl. 1934-1946) was an architect practising from 7 Donegall Square West, Belfast-based architect. He served as RIBA representative on the Ancient Monuments Advisory Committee of the Government of Northern Ireland from 1934. As a member of the Georgian sub-committee, he was responsible for a survey of the architecture of the Georgian period in the six counties. He also served on the Northern Ireland Planning Advisory Board from 1942 as a representative of the Royal Society of Ulster Architects.",389,688
491,"Shields, Arthur",0,,,,
267,"Shiels, George  (1881-1949)",0,Playwright,"George Shiels (1881-1949) was born near Ballymoney, County Antrim. Shiels emigrated to Canada to work on the Canadian Pacific Railway. In 1913 he was injured and disabled for life in an accident. He returned to Northern Ireland and set up business with his brother as a shipping agent. He started to write and based his plays on his experiences abroad and the changes he observed in the society which made up his world. When he first started to write Shiels used the pseudonym George Morshiels. With his success as a playwright Shiels was able to give up his shipping agency business and he moved to Carnlough in County Antrim. Shiels died at Carnlough on September 19th, 1949.",308,433
8,"Simms, Samuel, Dr  (d. 1967)",0,Private Collector,Private book collector and medical doctor. Belfast. d. 1967,26,22
18,"Smith, Adam (1723-1790)",0,Economist and philosopher,"Scottish economist and philosopher. b. Kirkcaldy, 1723. Noted for his published treatise, The Wealth of Nations, which is widely regarded as the first masterpiece in political economy. Ed. Glasgow and Oxford. 1751 appointed Professor of Logic at Glasgow University, later transferring to the Chair of Moral Philosophy, in 1752. 1759 published Theory of Moral Sentiments. 1764-66 tutored Henry Scott, 3rd Duke of Buccleuch in France coming into contact with leading philosophers and writers, including Voltaire. From 1773, maintained a frequent residence in London and in 1775 was elected a member of Dr Johnson’s Literary Club. After a number of revisions and delays, the Wealth of Nations was finally published in 1776 to much acclaim. In 1778, was appointed Commissioner of Customs in Edinburgh. d. Edinburgh, 1790. [Sources: Dictionary of National Biography; Chambers Biographical Dictionary.] Publications: Articles upon Johnson’s Dictionary, and the general state of literature of Europe, in Nos 1 and 2 of the Edinburgh Review, 1755; The Theory of Moral Sentiments (1st ed. 1759, 2nd ed. 1761, 6th ed. 1790); Inquiry into the Nature and Causes of the Wealth of Nations (1st ed. 1776, 2nd ed. 1778, 3rd ed. 1784, 4th ed. 1786, 5th ed. 1789, 9th 1799); Essays on Philosophical Subjects (1795); Lectures on Justice, Police, Revenue, Arms…by Adam Smith…reported by a Student in 1793, ed. Edwin Cannan (1896); Collected Works, ed. Dugald Stewart (1811-12)",37,47
403,"Somerville, Edith Anna Oenone  (1858-1949)",0,,"Irish novelist and artist. b. Corfu, 1858, family returning to Drishane, Co. Cork in 1859. ed. Alexandra College, Dublin. Studied art in London, Dusseldorf, and Paris after 1884, and became a magazine illustrator. She exhibited later in Dublin, London and New York, 1920-38. In 1886, met her cousin, Violet Martin, with whom she formed the successful literary partnership, Somerville and Ross. Their first book, An Irish Cousin, appeared in 1889, and by Martin’s death in 1915 they had published 14 titles together, including The Real Charlotte (1894), Some Experiences of an Irish R.M. (1899) and In Mr Knox’s Country (1915). Somerville continued to write and publish as Somerville and Ross despite Martin’s untimely death, believing that, through spiritualist séances, the two remained in contact. Subsequent successes included Irish Memories (1917) and The Big House at Inver (1925). In 1903, she became the first woman Master of Foxhounds and from 1912-19, served as Master of the West Carberry Pack. She was awarded an honorary degree from the University of Dublin in 1922 and in 1941 received the Gregory Gold Medal from the Irish Academy of Letters, of which she was a founding member. d. Drishane, 1949.",448,740
385,"Spender Lillian,  Lady  (1880-?)",0,,"Lady Lillian Spender (nee Dean), b.1880, was the youngest of five daughters of a comfortably placed London merchant. Her first diary starts in 1898 when she was living at Lancaster Gate in London. She married Wilfrid Spender, an officer in the General Staff, in 1913 and accompanied him to Belfast after he had to resign his commission because he signed the Ulster Covenant without permission. As administrator of the UVF, he masterminded gun-running at Larne and elsewhere, and subsequently became a top civil servant in the province. Lady Spender had one daughter in 1923.",430,724
251,"Spender, Wilfrid, Sir (1876-1960)",0,Military and Politics,"Born on 6 October, 1876, Spender belonged to a family distinguished in journalism and politics. Breaking with family tradition, he chose to make the Army his career and went through the staff college at Camberley, joining the Devon Artillery in 1897 and soon afterwards transferring to the Royal Artillery. Promoted to the General Staff and working on national defence, he became concerned with the strategic importance of Ireland and subsequently Home Rule. He resigned his commission after signing the Covenant without permission. Sir Edward Carson invited him to join the HQ staff of the UVF and he was appointed secretary to three committees dealing with supplies, equipment and transport. He masterminded the gun-running episode at Larne in 1914. During World War I he became GSO with the 36th Ulster Division and rose to Lt Colonel at GHQ. At the end of World War I he was selected by Lord Haig as Officers' Friend at the Ministry of Pensions and he served on Lord Haig's Committee of Five which founded the British Legion. In 1921, when the Government of Northern Ireland was established, he was invited by Lord Craigavon to return to Ulster to assist in the administration of the Ulster Volunteer Force. He was appointed the first Secretary to the Northern Ireland Cabinet and in 1926 was appointed Permanent Secretary to the Ministry of Finance and Head of the Northern Ireland Civil Service. He became Sir Wilfrid Spender in 1929, retired in 1944 and died in 1960.",290,480
253,"Stelfox, Arthur Wilson (1883-1972)",0,Architect and naturalist,"Arthur Wilson Stelfox (1883-1972) was born in Belfast. He was known internationally for his work on Hymenoptera, on animal bones from caves and on non-marine Mollusca. His work on the genus Pisidium is of lasting importance. Stelfox was elected a Member of the Royal Irish Academy in 1912. He worked on the Clare Island Survey which took place between 1909 and 1911, the most ambitious natural history project undertaken in Ireland and the first of its kind in the world.",292,516
217,"Stewart, John D. (d. 1988)",0,Writer,"John D. Stewart, poet, playwright and journalist, began his career as a civil engineer. However it is through his writing, especially in the worls of drama that he is best remembered. As well as producing his own plays, such as ""Danger, men at work"", he is alos creditied with great translations of foreign works, such as Moliere's French classic ""Tartuffe"". He died in 1988.",256,593
205,"Stuart, Francis (1902-2000)",0,Writer,"Francis Stuart (1902-2000), of Ulster Protestant stock was born in Australia. His father committed suicide a short time later and his mother returned to Ireland where he grew up. He was educated at Rugby in England. At eighteen he eloped with Iseult Gonne, daughter of Maud Gonne MacBride. He fought on the Republican side in the War of Independence 1920-21. Stuart went to Germany in 1939 as a university lecturer and remained there for the duration of World War II. He made pro-Nazi broadcasts in English from Germany during this time, but always denied any charges of anti-Semitism. Whilst in Germany he was interned by the allies for one year (1945-6) as a result of his controversial broadcasts. After this he lived in Germany, France and England. He was exiled from Ireland but was allowed to return in 1959. His literary talent was often overlooked due to his highly controversial politics and life. His novels include The White Hare, 1936, Redemption, 1949, Flowering Cross, 1950 and the acclaimed autobiography Black List, Section H written as fiction in 1971. He died in Ireland on February 2nd 2000.",244,507
42,"Sutton, Henry Septimus (1825-1901)",0,Author and Poet,"Author and Poet. b. Nottingham, 1825. Moved to Manchester in 1850. Editor of the Alliance News in Manchester, 1854-98. Married for the second time in 1857. Cultivated a number of literary and artistic acquaintances and friends including George MacDonald, Francis Power Cobb and Christina G. Rossetti. d 1901. Publications include: Clifton Grove Garland; a poem (Nottingham, 1848); Consider the Ravens (Manchester); The Evangel of Love (London, 1847) Five Essays for students of the Divine Philosophy of Swedenborg (London, 1895); The Letter and Authority of Swedenborg and the ""Freedom and Faith"" of Dr. Tafel by H.S. Sutton (Manchester, 1883); Our Saviour's Triple Crown: an essay for students of the Divine philosophy of Swedenborg… (London, 1898); Outlines of the Doctrine of the Mind according to Emanuel Swedenborg, with observations by Henry Septimus Sutton (London, 1889); Poems by Henry Septimus Sutton (Manchester, N.D.); Poems by Henry S. Sutton (Nottingham, 1848); Poems (Glasgow, 1886); Quinquenergia; or Proposals for a new practical theology (London, 1854); Rose's Diary and other Poems (Manchester, 1899)",62,67
315,"Thompson, G.P.C. ",0,Private depositor,"Resident in Knock Road, Belfast in 1972. No further information available.",358,660
246,"Thompson, Sam (1916-1965)",0,Playwright,"Sam Thompson (1916-1965) was a playwright born in Belfast. He workered as a painter in the ship-yard and was encouraged to write by Sam Hanna Bell. His best known play was ""Over the Bridge"" which dealt with a sectarian labour dispute. His work is known for its social realism. He was keen to acknowledge the sectarian divisions in Ulster society.",285,595
21,"Thomson, James (1786-1849)",0,Mathematician,"Mathematician and teacher. Father of Professor James Thomson (1822-92) and William Thomson, Lord Kelvin (1824-1907). b. Annaghmore, Co. Down, 17 Nov 1786. Educated at home by his father with subsequent instruction at Ballykine School near Ballynahinch, and, from 1810-12, at Glasgow University. 1814 appointed headmaster of the school of ‘arithmetic, bookkeeping and geography’ at Belfast Academical Institute, and, in 1815, professor of mathematics in its collegiate department. 1832 appointed Professor of Mathematics at Glasgow University. d. Glasgow, 12 Jan 1849. Source: Dictionary of National Biography (1895)",41,49
