OwnerID,OwnerName,OwnerOrganisation,OwnerRole,OwnerTelephone,OwnerFax,OwnerEmail,OwnerHistory,OldCollectionID,OldOwnerID
139,Diocese of Derry & Raphoe,38,,,,,"The Derry and Raphoe Diocesan Library was formed by the amalgamation of both diocesan libraries in 1881.  William King, Bishop of Derry in 1690, was responsible for providing the stock for setting up a diocesan library in Derry in  frst instance.  He purchased the library of his predecessor Ezekiel Hopkins and left it and his own donations in Derry when he was translated to the archbishopric of Dublin in 1703.  By 1709 there was a catalogue and a librarian had been appointed.  It is thought that the old Cathedral Library which was in existence in 1668 also forms part of the original Derry Diocesan Library.  The Raphoe Diocesan Library was founded in 1737 by Bishp Nicholas Forster.   The library of George Hall, Bishop of Dromore forms the largest part of this library.  It came to the Raphoe Diocesan Library in 1811 as a bequest.",426,116
317,Armagh (Provincial) Diocesan Registry,38,,,,,,645,294
307,Environment & Heritage Service: Built Heritage,44,"The Department aims to identify, record and protect the built, buried and underwater remains of human activity from prehistoric times to the present day.",+44 (0)28 9054 3004/6,+44 (0)28 9054 3111,mbr@doeni.gov.uk,"EHS: Built Heritage forms an integral part of the Environment and Heritage Service for Northern Ireland, a government agency of the Department of the Environment for Northern Ireland. It aims to identify, record and protect the built, buried and underwater remains of human activity from prehistoric times to the present day. The department originates from the establishment of the Government of Northern Ireland in 1921 when responsibilty for the protection and administration of ancient monuments located in the North of Ireland passed from the Commissioners of Public Works in Dublin who had exercised this right from 1869. This function was assumed as a minor function of the Works division of the Ministry of Finance at Stormont under the Ancient Monuments Act (Northern Ireland) of 1926. A dedicated body, the Ancient Monuments Advisory Committee, becoming the Ancient Monuments Advisory Council in 1937, was then set up to advise the Minister of Finance on relevant matters. In 1948, E.M. Jope was appointed as first Inspector of Ancient Monuments and, in 1950, 2 further inspectors, D.M. Waterman and A.E.P. Collins, were also appointed forming a new branch of the Ministry of Finance. In 1971, the Ancient Monuments Advisory Council was replaced by the Historic Monuments Council with the passing of the Historic Monuments Act of that year. A planning order passed during the following year saw the creation of a separate Historic Buildings Council which was established under the Ministry of Development. In 1976 these two functions were combined with responsibility passing to the Department of the Environment for Northern Ireland under which they have remained.",635,284
365,Ulster Museum,47,National Museum,00442890383000,00442890383003,,"Situated in the beautiful Botanic Gardens, Belfast, the Ulster Museum is unique in Northern Ireland for its range of art, history and science collections and displays. It was officially established in 1929 as the Belfast Municipal Museum and Art Gallery on the opening of the museum building in that year. A municipal museum service had, however, been in operation since c. 1891 when a huge collection of some 60,000 items was bequeathed by the Rev. Canon John Grainger (1830-1891) of Broughshane, Co. Antrim, to Belfast Corporation. This collection, representing a lifetime’s scholarly interest in natural history and antiquities, contained a vast array of specimens, fossils, minerals, fine art, ethnographic objects, books and curios, and became a focus for further gifts and deposits. It was first housed in the then newly opened Belfast Central Library, before moving to purpose built accommodation in Botanic Gardens in 1929. From this time, the Museum served in effect as a national institution for the whole of Northern Ireland, receiving official recognition under the Museum Act of 1961. The building was then extended and government funding secured with the museum changing its name to the Ulster Museum. More recently, the Ulster Museum has joined forces with the Ulster Folk & Transport Museum, the Ulster-American Folk Park and Armagh County Museum to form MAGNI (Museums And Galleries of Northern Ireland), a major network of national museums in Northern Ireland. See also: A Museum in Belfast: A History of the Ulster Museum and its Predecessors, Noel Nesbitt (Ulster Museum, 1979)",689,343
371,Northern Ireland Place Name Project,48,Research Unit,00442890975345,,<a href=,"The Northern Ireland Place Name Project was established in the Department of Irish and Celtic Studies in the School of Languages, Literatures and Arts at Queen's University Belfast with government funding in 1987 to research the names of physical features and settlements on the Ordnance Survey 1:50,000 scale map. The Project was to build up a computer database of the names, giving their origin, meaning, and any historical or other relevant information. In 1990 the work was extended to include all townlands and a publication programme was begun, thus fulfilling the aims of the Ulster Place Name Society ""to undertake a survey of Ulster place names"" and to publish the results for members. Seven volumes were produced 1992-7, on parts of Counties Antrim (2), Derry (1) and Down (4). After a gap in funding 1997-9, a new grant was obtained from the Arts and Humanities Research Board to produce two further volumes in the series (Fermanagh and Tyrone) and to work towards releasing the database online. In the meantime some support was obtained from the Heritage Lottery Fund for a travelling exhibition (Celebrating Ulster’s Townlands by Kay Muhr) and from the Community Relations Council and Ultach Trust for the writing of the first Dictionary of Ulster Place-Names (by Patrick McKay). The Project is currently being reviewed. See also: http://www.qub.ac.uk/schools/SchoolofLanguagesLiteraturesandPerformingArts/SubjectAreas/IrishandCelticStudies/Research/NorthernIrelandPlace-NameProject/ <br />",695,349
19,Royal Irish Academy,54,Learned Society,0035316762570,,library@ria.ie,"An all-Ireland institution, the RIA was founded in 1785 as a learned society for the promotion of the sciences and the humanities in Ireland. See http://www.ria.ie",765,418
164,Royal Irish Academy,54,,+353-1-6762570,+353-1-6762346,library@ria.ie,,743,398
296,Northern Ireland Social and Political Archive,54,Electronic Resource,+44 (0)28 7137 5502,+44 (0)28 7137 5510,gillian@incore.ulster.ac.uk,"ARK (Northern Ireland Social and Political Archive) is a web resource that provides access to social and political material relevant to Northern Ireland. It was established in 2000 as a joint project between Queen's University Belfast and the University of Ulster. ARK has four components - CAIN: Conflict Archive on the Internet, L&T: Northern Ireland Life and Times, ORB: Online Research Bank and NIE: Northern Ireland Elections.",626,273
3,University College Dublin,55,Academic Institution,+353 1 7167149,+353 1 7167667,specialcollections@ucd.ie,"UCD is a constituent body of the NUI.  The origins of UCD date back to the formation of the Catholic University Of Ireland by Cardinal John Henry Newman in 1854.  The Catholic University later became known as UCD and was run under the umbrella of the Royal University of Ireland and which later became the National University of Ireland. The Royal College of Science and the Albert National Training College later became incorporated into UCD.  UCD Library holds more that 1.5 million volumes of which 25,000 are in Special Collections.",746,400
6,Trinity College Dublin,56,Academic Institution,+353 1 896 1172,+353 1 896 2690,library@tcd.ie ,"Trinity College, the sole constituent College of Dublin University, was founded in 1592.",748,402
299,Dúchas Project,56,Living History Archive Project,+44 (0)28 9020 2030,+44 (0)28 9020 2031,duchas@fallscommunitycouncil.org,"The Dúchas Project was formally established by the Falls Community Council in 2000 following the award of funds from the EU Special Support Programme for Peace and Reconciliation. It was set up to record the experience of the Northern Ireland conflict in nationalist West Belfast from 1969 onwards. The aims and objectives of the Project are currently being met through the creation and preservation of an Oral History Sound Archive and Personal Photographic Archive. A dedicated programme of exhibition and events is organised annually to disseminate the work of the Project. The collection is currently being extended by Claire Hackett (BA Social Anthropology, MSc Irish Political Studies, MSc Women's Studies), the Project Co-ordinator, and Mairead Gilmartin (BA Modern History, MA Irish Studies), Senior Researcher.",627,276
10,Royal Irish Academy of Music,57,Academy of Music,0035316325300,0035316622798,info@riam.ie,"http://www.riam.ie/about-us/history/ See also: Pine, R. & Acton C. To talent alone: the Royal Irish Academy of Music, 1848 –1998 (Dublin, 1998)",754,407
34,Irish Traditional Music Archive,58,Music Archive,0035316619699,0035316624585,grace.toland@itma.ie,http://www.itma.ie,755,408
13,Mayo County Council,59,Public Library Service,00353949047922,00353949026491,library@mayococo.ie,"Mayo was one of the earliest counties to exercise the power conferred by the Local Government Act 1925 to adopt a county library scheme. The first County Librarian, Ms Bridget Redmond was appointed in November 1925 on a three year contract to establish the new Mayo County Library. Mayo benefited from funding provided by a trust established by the late Andrew Carnegie to promote the public library cause in both Britain and Ireland. The library was formally established as a permanent agency of Mayo County Council in 1928.  The county had only one dedicated base, in Castlebar and relied on  deposit centres, often operated by local primary teachers to bring the library to an overwhelmingly rural county. A purpose built Castlebar Branch and Headquarters were finally provided in 1942 and in 1972 a School Library service commenced. The first purpose built branch libraries in Ballina (1972) and Westport (1976) gave the service a regional presence.  New premises were provided for the public in Castlebar  (1990) and Ballina (2006) whilst a nework of branch libraries has been established throughout the County, from Belmullet to Charlestown. ",757,410
308,Cardinal Tomás Ó Fiaich Memorial & Archive ,59,Library and Archive,+44 (0)28 3752 2981,+44 (0)28 3751 1944,ofiaichlibrary@btinternet.com,"Cardinal Tomás Ó Fiaich (1923-1990) left instructions in his will that his academic papers, books, and a number of other personal items be passed to the local Armagh Diocesan Historical Society, Seanchas Ard Mhacha, so that they would be available to future generations.  Members of the Society, friends and colleagues saw this as an opportunity to found a library where these materials could be made available to academic researchers and the general public. In 1999, after several years of intensive fundraising and a generous grant from the Heritage Lottery Fund, the Cardinal Tomás Ó Fiaich Memorial Library and Archive was opened. The Ó Fiaich Library strives to promote study and research in the spheres of cultural and historical interest favoured by the late Cardinal.",636,285
29,"Ashbourne Library, Meath County Council Library Services",60,Public Library Service,0035318358185,,ashbournelib@meathcoco.ie,N/A,758,411
310,Archdiocese of Armagh,60,,,,,"The Archdiocese of Armagh is comprised of parishes in Counties Armagh, Tyrone, Louth and small parts of Counties Derry and Meath.  The Archdiocese of Armagh is the seat of the Primate of All-Ireland.",638,287
30,"Cork County Library and Arts Service, Cork County Council",61,Public Library Service,00353214546499,00353214343254,corkcountylibrary@corkcoco.ie,"Cork County Council has 28 branches and six mobile libraries throughout the county. This library service provides the community with a comprehensive range of material for information, study and recreation. Ultimately user friendly, it is there to inform, entertain and educate.  The first Cork County Librarian was Michael O' Donovan, better known as Frank O' Connor, famous short story writer and novelist (2001 was the 75th anniversary of his appointment). The 20 small centres that O' Donovan had established in schools and villages around County Cork by May 1926 have expanded in the intervening years to a network of 28 branch libraries (of which fifteen are full-time, that is open for over 32 hours per week) and six mobile libraries.",759,412
311,University College Dublin ,61,Academic Institution,00 353 1 716 7777,,info@ucd.ie,"University College Dublin, National University of Ireland, Dublin dates its origin from the foundation in 1851 of the Catholic University of Ireland. The ""Catholic University"" was set up as an alternative to the non-denominational Queen’s Colleges established by the Government in 1845, located in Belfast, Cork and Galway.  The Catholic University of Ireland opened officially in 1854 at no. 86 St. Stephen’s Green with Cardinal John Henry Newman as Rector. Some of the more celebrated literary figures associated with the early days of the University are Gerard Manley Hopkins, James Joyce and Austin Clarke.  The Constitution of the College dates from 1908 when it received its charter and was incorporated, together with the former Queen’s Colleges at Cork and Galway, as a constituent college of the National University of Ireland. This coincided with the move of University College Dublin, to new and larger premises in Earlsfort Terrace, Dublin. Earlsfort Terrace still houses the Medical Faculty, and part of the Engineering Faculty. In 1934 University College Dublin bought Belfield House and added a group of adjoining properties during the years 1949 to 1958. In 1960, the Government recommended that University College should move from the City centre to Belfield. The first buildings to be built on the campus were those of the Faculty of Science in 1964. The most recent building is the new Department of Computer Science building completed in 1999. Under the provisions of the Universities Act 1997, University College Dublin, National University of Ireland, Dublin has been established as an autonomous university within the National University of Ireland. Today, University College Dublin with over 18,000 registered undergraduate and postgraduate students. International students on exchange programmes and full-degree programmes, make up approximately 1,500 of this number.\n\nSource: <a href=""http://www.ucd.ie/aboutucd.htm#History"" target=""new_window"">http://www.ucd.ie/aboutucd.htm#History</a>.",639,288
20,Contemporary Music Centre,62,"Ireland's national archive and resource centre for new music, supporting the work of composers throughout the Republic and Northern Ireland.",0035316731922,0035316489100,info@cmc.ie,"The Contemporary Music Centre is an all-Ireland, non-profit educational organisation, founded in 1985 by the Arts Council/An Chomhairle Ealaíon to support and encourage the composition and performance of serious music. As a largely government-funded body, it operates as an independent organisation but with national status and official recognition as the focus for contemporary music in Ireland.\n\nThe Centre is funded by the Arts Council/An Chomhairle Ealaíon, the Arts Council of Northern Ireland, and the Irish Music Rights Organisation (IMRO). Project funding has also been received from the Irish Department of Foreign Affairs, the British Council and Radio Telefís Éireann (RTÉ).\n\n",760,413
21,National Library of Ireland,63,National Library,0035316030200,0035316612523,info@nli.ie,"The National Library of Ireland was established by the Dublin Science and Art Museum Act, 1877.  In 2005, the National Library of Ireland was established as an autonomous cultural institution under the National Cultural Institutions Act, 1997. \nThe mission of the Library is to collect, preserve and make available books, manuscripts and other library materials of Irish interest.\n",761,414
314,Tyrone Guthrie Centre,63,Heritage Centre,+00 353 1 475 4003,+00 353 1 475 4380,thetgc@indigo.ie,"The Tyrone Guthrie Centre at Annaghmakerrig, Newbliss, Co. Monaghan.was officially opened by the playwright Brian Friel in October 1981 as the first residential arts centre in Ireland. It was established under the terms of the will of the broadcaster and Theatre Directory, Sir Tyrone Guthrie (1900-1971), who intended the house to be run as a centre for artists after his death. The Centre offers residences to established professional artists from both parts of Ireland and abroad in all the main artistic disciplines. It also organises a Regional Bursary Scheme for younger, emerging artists in co-operation with 27 local authorities throughout Ireland; the Stewart Parker Playwrights’ Workshop, seminars for the translation of contemporary European poetry in association with Poetry Ireland and the European Network for the translation of contemporary European Poetry, as well as a European Translators’ Bursary Scheme.\n\nSee also: <a href="" http://www.tyroneguthrie.ie/"" target=""new_window""> http://www.tyroneguthrie.ie/</a>",642,291
14,"South Dublin County Libraries, South Dublin County Council",65,Library service,00353014597834,,bcribbin@sdublincoco.ie,"South Dublin County Libraries has 7 Branch Libraries, 5 full-time and 2 part-time, at Ballyroan, Castletymon, Clondalkin, Tallaght (County Library), Lucan, Stewarts Hospital and Whitechurch. There are also 4 Mobile Libraries.",768,421
329,W.H. Smith,65,Book-sellers and stationers.,+44 (0)28 9032 8566,,,"Founded as Johnston & Company in 1819 and taken over by W.H. Smith in May 1850, the first Eason was appointed by Smith as his Manager in Dublin in 1856. Eason and his son, Charles, acquired the business in 1886. A branch was opened in Belfast in 1868. The firm prospered in both the 19th and 20th centuries, supplying firstly its railway bookstalls and subsequently its shops with the printed word in all its forms, newspapers, journals, books, stationery and writing requisites for the home and school, postcards, Catholic prayerbooks etc. Through the travelling representatives, stationery sales helped to secure orders for new products, and to build up the small town newsagent, who was usually a bookseller and stationer or a general merchant. Today the Belfast arm of the company is listed amongst Northern Ireland's top 100 businesses adding to the company's position as the largest bookseller, newsagency and stationer in Ireland.",656,306
24,"Kildare County Library and Arts Service, Kildare County Council",66,Library service,0035345448301,,amyler@kildarecoco.ie,,769,422
332,Falls and Hanna,66,Solictors,+44 (0)28 6632 2009,,,"Located at 24 East Bridge Street, Enniskillen, Co. Fermanagh, the firm of Falls & Hanna continuea in business today.",658,309
337,Department of Agriculture and Rural Development for Northern Ireland ,67,Government Department,+44 (0)28 9052 4396,+44 (0)28 9052 5015,library@dardni.gov.uk,"The Department of Agriculture and Rural Development for Northern Ireland was established as a separate government department with the formation of the Northern Ireland Executive in 1999. It was set up to promote economic growth and the development of the countryside in Northern Ireland and to assist the competitive development of the agri-food, fishing and forestry sectors of the NI economy. It is also responsive to the needs of consumers for safe and wholesome food, the welfare of animals and the conservation of the environment. \n\nSee also: <a href=""http://www.dardni.gov.uk/index.htm"" target=""new_window"">http://www.dardni.gov.uk/index.htm</a>",663,314
32,RTÉ Sound Library,68,Library,0035312082044,0035312082610,sarchives@rte.ie,,772,425
27,Dublin Institute of Technology Music & Drama Library,69,Library,0035314024128,0035314027859,ann.wrigley@dit.ie,,773,426
348,Ulster Women's Unionist Council,69,,,,,"The Ulster Women's Unionist Council was established on 23 January 1911. Initiated as the female equivalent to the main Ulster Unionist Council, it was established as an auxiliary organisation to oppose home rule, promote unionist propaganda and preserve the legislative union between Great Britain and Ireland. Led by members of Ulster's aristocratic elite, such as Mary Anne, 2nd Duchess of Abercorn and Theresa, 6th Marchioness of Londonderry, it became the largest female political association in early 20th century Ireland with a membership of between 115,000-200,000 by 1913 and a range of local branches throughout the north of Ireland. On the outbreak of World War I the organisation became engaged in extensive charity work, making arrangements to care for those who were discharged from the forces on medical grounds and inaugurating the Ulster Women's Gift Fund for Soldiers. After the Representation of the People Act in 1918 the movement became involved in the registration of women voters. Subsequent reorganisation involved speakers' classes, meetings that combined education with entertainment, and the holding of meetings outside Belfast to increase interest in the work of the Women's Council at a local level. Today the headquarters of the Ulster Unionist Council is located in Glengall Street, Belfast.",673,325
28,University College Cork,70,Library,00353214902918,,r.madden@ucc.ie,"UCC’s Library collections of books and manuscripts have been built up since the opening of the University in 1849. The Boole Library opened in September 1983, named after George Boole (1815-1864) who was the first Professor of Mathematics at Queen's College, Cork (now UCC) (1849-1854). An extension to the main building was officially opened in July 2007. UCC Library is the University’s teaching, learning and research information resource for students and staff. It also acts as a regional information service and as a repository of the cultural and historical heritage of the Munster region.",774,427
350,Young & Mackenzie,70,Architectural Firm,,,,"Young & Mackenzie, Architects, Donegall Square West, Belfast, 1825-1937. The firm was founded by the Rt Hon. Robert Young (1822-1917), architect and civil engineer, who articled with the renowned architect, Charles Lanyon, and afterwards was his chief assistant in carrying out important engineering works, including the Belfast and Ballymena Railway. Settling in his home town of Belfast in the early 1850s, he established the business in 1854 in partnership with John Mackenzie, being joined later by his son, Robert, who made a huge personal contribution to the work of the practice by his design of numerous nineteenth century buildings including: many Ulster Presbyterian churches, manses and schools; mansions and large warehouses; hospitals for several public authorities and well-known buildings. The firm is no longer in operation.",675,327
15,CUT Cork School of Music,71,Library,00353214326494,,tadhg.coakley@cit.ie,"Cork School of Music, which is a constituent college of CIT, offers a complete education in music including first, second, undergraduate (third) level and postgraduate.\n\nLocated within the centre of Cork City overlooking the River Lee, this five storey building functions as a centre of musical excellence locally, regionally, nationally and internationally.\n\nThe Fleischmann Library is the premier music library in the south, boasting thousands of CDs and books. The Library itself also has full daylight as its walls are glass providing a very positive environment for study.",775,428
12,Dundalk Institute of Technology Library,72,Library,00353429370312,,John.king@dkit.ie,,776,429
356,Northern Ireland Heritage Gardens Committee,72,,,,,"The Northern Ireland Heritage Gardens Committee began in 1980 as an informal group of five individuals with common cause, the nomination of gardens within Northern Ireland that were of outstanding international significance. The first task of the group was to produce a preliminary listing of gardens and parks in Northern Ireland and to submit details of them to the International Committee of Historic Gardens (a committee of the International Council on Monuments and Sites). This was completed in 1982 and formed the basis of Northern Gardens which was published in association with the Ulster Architectural Heritage Society. In c. 1989, funding was secured to set up a dedicated archive of gardens in Northern Ireland. This work was conducted on behalf of the Committee by the Historic Gardens Consultant, Belinda Jupp, and resulted in the publication of the Heritage Gardens Inventory (1992), a detailed listing of significant gardens in the north of Ireland. Source material accumulated during the course of this 3-year project was deposited as part of the Monuments and Buildings Record in c. 1993 for further expansion and permanent preservation. By this time, membership of the Committee had grown to 13 and included a representative selection of interested persons including the then librarian of Queen's University, George Wheeler and the Principal Inspector of the Historic Monuments and Buildings Branch of the DoE, Dr Ann Hamlin. The committee currently operates out of this department, now known as the Environment and Heritage Service: Built Heritage, under the direction of Mr Terence Reeves-Smyth who now maintains the present Inventory.\n\nSource: Heritage Gardens Inventory, compiled by Belinda Jupp (Belfast, 1992)",681,333
16,Equality Commission for Northern Ireland ,73,"Independent Public Body working towards the elimination of discrimination on grounds of sex, disability, race/ethnic origin and religion/political belief.",+44 (0)28 90500600,+44 (0)28 90248687,infoadmin@equalityni.org,"The Equality Commission is the body responsible for combating discrimination and promoting equality in Northern Ireland. The Equality Commission for Northern Ireland is an independent public body established under the Northern Ireland Act 1998.  On 1 October 1999 the commission took over the functions previously exercised by the Commission for Racial Equality for Northern Ireland, the Equal Opportunities Commission for Northern Ireland, the Fair Employment Commission and the Northern Ireland Disability Council.    ",428,397
22,"Clare County Library, Clare County Council",74,Public Library,00353-65-6846350,00353-65-6842462,mailbox@clarelibrary.ie,,778,431
423,"Kilkenny County Library Service, Kildare County Council",123,Library Service,,,,,,
398,NUI Galway,125,University Library,,,library@nuigalway.ie,,721,376
425,Met Eireann Library,126,Irish Meteorological Service ,0035318064200 ,,,"<a href=""http://www.met.ie/about/our-history.asp"">http://www.met.ie/about/our-history.asp</a><br /><br />",,
424,Newry and Mourne Museum    ,127,Museum, 028 3031 3182    ,, museum@newryandmourne.gov.uk    ,"<p>Newry and Mourne Museum was established in 1986 and aims to provide a dynamic and inclusive recreational and educational resource reflecting the rich cultural heritage of the local area.</p>\n<p>The museum's diverse collections currently include material relating to prehistory; Newry's Cistercian foundation; Ulster's Gaelic Order and its relationship with the English Crown; the building of a merchant town and the first summit level canal in the British Isles; the working life and folk traditions of rural and mountain areas; fishing, trade and migration by sea; renowned local personalities and businesses; folklore, storytelling and music; and modern experiences of a Border area. All these aspects of local heritage are explored at through a varied programme of exhibitions, educational events and activities.</p>\nThe Museum is housed in two adjoining buildings, the first being known as Bagenal's Castle which is a fortified house built by Sir Nicholas Bagenal in the 1560s. The warehouse adjoining Bagenal's Castle on the north side was added in the early 19<sup>th</sup> century and was used by Joseph Doyle, a seed merchant. In 1894 the complex became the home of Arthur McCann Limited and functioned as a bakery until the mid 1990s.",,
1,NUI Galway,128,University Library,00353492549,,,,742,397
427,"Special Collections, Robinson Library",129,University,00441912225146,,lib-specenq@ncl.ac.uk  ,tbc,,
432,"University of Notre Dame, Hesburgh Library",134,Academic Institution,0015746316258,,rarebooks@nd.edu,"Founded in 1842 by a priest of the <a href=""http://www.holycrosscongregation.org/"">Congregation of Holy Cross</a>, Notre Dame is an independent, national Catholic research university located adjacent to the city of South Bend, Indiana, in a metropolitan area of more than 300,000 residents approximately 90 miles east of Chicago.<br /><br />The University is organized into four undergraduate colleges — <a href=""http://al.nd.edu/"">Arts and Letters</a>, <a href=""http://www.science.nd.edu/"">Science</a>, <a href=""http://engineering.nd.edu/"">Engineering</a>, and the <a href=""http://business.nd.edu/"">Mendoza College of Business</a> — the <a href=""http://architecture.nd.edu/"">School of Architecture</a>, the <a href=""http://law.nd.edu/"">Law School</a>, the <a href=""http://graduateschool.nd.edu/"">Graduate School</a>, 14 major research institutes, two dozen centers and special programs, and the University Library system. Enrollment for the 2012-13 academic year was 12,126 students overall and 8,475 undergraduates. The Graduate School, established in 1918, encompasses 48 master’s and 26 doctoral degree programs in and among 30 University departments and institutes.<br /><br />With 1,250 acres containing two lakes and 143 buildings with a total property replacement value of $3.3 billion, Notre Dame is well known for the quality of its physical plant and the beauty of its campus. The<a href=""http://basilica.nd.edu/"">Basilica of the Sacred Heart</a>, the 14-story Hesburgh Library with its 132-feet-high mural depicting Christ the Teacher, and the University’s historic Main Building with its famed Golden Dome are among the most widely known university landmarks in the world.<br /><br />",,
433,"Boston College, John J. Burns Library",135,University,0016175524861,0016175522465,burnsref@bc.edu,,,
436,"University of Kansas, Kenneth Spencer Research Library",136,University Library,0017858644334,0017858645803,ksrlref@ku.edu,,,
26,"Dublin City Public Libraries, Dublin City Council",,Public Library, 0035316744995  ,,maire.kennedy@dublincity.ie,,771,424
36,Unknown,,,,,,Unknown Private Source,1,10
49,Miss Mary M. Martin and descendants,,,,,,"Resident - Banbridge, Co. Down, Northern Ireland. Niece of the academic, Helen Waddell (1889-1933).",39,24
53,Mrs Nora Elson and descendants,,Private Depositor,,,,"Daughter of the writer, Shan F. Bullock (1865-1935).\n\nNo further details available.",45,29
54,Professor R.O. Cunningham (d. 1918) and descendants,,Private Depositor,,,,"Prof of Natural History and Geology, Queen’s College, Belfast. d. 1918. Ownership rests with legal descendants.",47,30
68,Olive G. Baguley and descendants,,,,,,"Resident in Sussex, c. 1946. Sister-in-law of the composer and conductor, Sir Hamilton Harty (1879-1941).\n\nNo further details available.",64,45
75,Descendants of Thomas Noel Carnduff (1921-2001),,,,,,No details available,73,52
77,Antrim Presbytery,,Religious Organisation,,,,Local congregation of Presbyterian Church in Ireland for the Co. Antrim area.,75,54
90,John Andrews & Co. Ltd.,,,,,,"The firm of John Andrews & Co., flax spinners, was established by John Andrews of Comber (1782-1864) in 1863, building on an existing family business that had been in place since the late 18th century. Having already worked with his father in the firm, James Andrews & Sons from 1812, John Andrews, embarked upon the re-organisation of the company in the 1860s with the construction of a new mill, re-establishing the company under his own name with his sons, James, John and Thomas as partners. Thomas Andrews (1843-1916) took over the direction of the new company on the death of his father in 1864. Under his leadership, the family business continued to flourish, benefiting from the growing strength and specialisation of the linen industry in Ulster at this time (linen was a major driving force in the economic development of the region). The company was then enlarged in 1907. Thomas Andrews was succeeded as Chairman by his son, John Miller Andrews (1871-1956) in 1916, and with his increasing political commitments (J.M. Andrews eventually went on to serve as Prime Minister of Northern Ireland from 1940-43), he was himself replaced in 1927 by his son, John Ormrod, as Managing Director of John Andrews & Co. Ltd. The company continued operations as a flax-spinning mill until 1997, when falling demand finally brought about its closure.  See Also: ""Nine generations: a history of the Andrews family, millers of Comber, "" edited by John Burls from the manuscript of Sydney Andrews (1958)",446,67
94,Archdale family,,,,,,No details available.,448,71
109,Harbour Commissioners,,Port Authority,+44 (0)28 9055 4422,+44 (0)28 9055 4411,info@belfast-harbour.co.uk,"The Port of Belfast, first mentioned in 1613 at the incorporation of the borough, was largely controlled by the Chichesters until 1785 when the Corporation for Preserving and Improving the Port and Harbour of Belfast (the Ballast Board) was instituted by Act of Parliament. It comprised 15 members: 3 were honorary and 12 merchants or ship owners selected without period. By a further Act of 1831 the Board was increased to 24: 3 honorary members (Chichesters), the Sovereign of Belfast, MPs for Carrickfergus and Downpatrick and for the counties of Down and Antrim, and the sitting members; 4 were to retire annually. The electoral basis for the Harbour Commissioners was established by the Belfast Harbour Act of 1847 (updated 1883): a restricted franchise mainly based on rateable valuations in the city using plural voting. Commissioners served for 3 years with one-third retiring annually. This electoral process was abolished in 1979 by the Belfast Harbour Acts (Amendment) Order (NI). The Commissioners today oversee the administration of the Belfast Harbour area in particular maintaining control of the allocation and variation of leases.",449,86
111,Belmore Family,,,,,,"See <a href="" http://proni.nics.gov.uk/records/private/belmore.htm"" target=""new_window""> http://proni.nics.gov.uk/records/private/belmore.htm</a> for details",451,88
114,Best Family,,,,,,"The Du Bordieu (or Dubourdieu) Best family are of Hugenot descent, the Du Bordieus having settled in Ireland sometime in the early part of the 17th century. Although no documentary evidence exists to establish the exact date, or the means by which they left France, the family tradition is that the Rev. Jean Armand Du Bordieu was, in his infancy, smuggled from France into England. As an adult, he came to Ireland about 1690 and was chaplain to Field Marshal Schomberg when the latter lost his life at the Battle of the Boyne. His son, Rev. John Du Bordieu, came to live in Ireland and his family claim him to be the progenitor of the Du Bordieu Bests in this country. A descendant of his, also called Rev. John Du Bordieu, was rector and vicar of Drumgorland and Drumballyroney, Co. Down from 1821 until his death in 1839. However, he is best remembered as an author of some distinction having written the 'Statistical Survey of the County Down' in 1802 and the 'Statistical Survey of the County Armagh' in 1812. Saumare,Z the eldest son of Reverend John, was born in Lisburn in December 1780 and was the British commander in 1802 when Martinique in the French West Indies was captured from the French. Over time, the family gradually dropped the ""Du Bordieu"" part of their name, reverting for whatever reason – probably marriage - to Best.  They became substantial tenant farmers in the parish of Aghagallon, Co. Antrim, under the Marquess of Hertford, under whom they purchased the leases of a number of smaller tenants during the 19th century before securing the estate of ‘The Cairn’ in Aghalee, Co. Armagh under the Land Purchase Act of 1885. In the twentieth century , the family seat was occupied by Robert Dubourdieu Best who led an active life in the field of agriculture and as treasurer of Aghalee parish Church for fifty years. Upon his death in the early 1970s, ownership passed to his son, William, who, in the tradition of his great-uncles, served in the British army and was decorated by  King George VI for bravery in the Second World War. Today, the family tradition is still alive and the manor-house is occupied by William's son, Robert.",453,91
117,"Department of Health, Social Services and Public Safety",,,+44 (0)28 9052 3349,+44 (0)28 9052 2714,,Government Department,614,94
121,Brookeborough Family,,,,,,"See <a href=""http://proni.nics.gov.uk/records/private/brookeb.htm"" target=""new_window"">http://proni.nics.gov.uk/records/private/brookeb.htm</a> for details. Alternatively consult 'Brookeborough: The Making of a Prime Minister', Brian Barton (Belfast, 1988) or 'The Brimming River', Raymond Brooke (Dublin, 1961).",454,98
130,Rev. G. O'Prey,,,,,,"Private collector - Crossgar, Co. Down.",457,107
131,Cherry Family,,,,,,"Descendants of Richard Cherry (1859-1923), Lord Chief Justice of Ireland, 1914-16. Born 19 March 1859, youngest son of a Waterford solicitor of Huguenot descent; Educated at Trinity College Dublin before being called to the Irish Bar in 1881; Made Q.C. in 1896; Served as Attorney General for Ireland, 1905-9 as a member of the Liberal Government; Lord Justice of Appeal, 1909-14. Lord Chief Justice of Ireland, 1914-16; He was MP (Liberal) for the Exchange Division of Liverpool 1906-9. Died 10 February 1923.   Source: Who Was Who, 1916-1928",609,108
